timestamp,query_type,hit,latency_ms,zone,cache_key
1780533395914,q1,0,20,Z1,N/A
1780533395927,q2,0,9,Z3,N/A
1780533395934,q1,0,4,Z1,N/A
1780533395944,q5,0,8,Z5,N/A
1780533395955,q4,0,8,Z3,N/A
1780533395961,q3,0,4,Z4,N/A
1780533395970,q4,0,7,Z5,N/A
1780533395977,q2,0,4,Z5,N/A
1780533395983,q3,0,4,Z2,N/A
1780533395988,q3,0,3,Z4,N/A
1780533396848,q4,0,8,Z2,N/A
1780533396862,q2,0,5,Z1,N/A
1780533396870,q3,0,6,Z3,N/A
1780533396877,q5,0,5,Z1,N/A
1780533396884,q4,0,5,Z1,N/A
1780533396892,q4,0,6,Z3,N/A
1780533396899,q4,0,5,Z1,N/A
1780533396905,q1,0,4,Z1,N/A
1780533396914,q4,0,7,Z4,N/A
1780533396917,q3,1,1,Z4,N/A
1780533397848,q2,0,8,Z1,N/A
1780533397860,q5,1,0,Z5,N/A
1780533397868,q3,0,5,Z2,N/A
1780533397874,q1,0,4,Z4,N/A
1780533397884,q4,0,8,Z3,N/A
1780533397893,q2,0,6,Z2,N/A
1780533397899,q1,0,4,Z5,N/A
1780533397909,q1,0,8,Z3,N/A
1780533397939,q5,0,21,Z3,N/A
1780533397944,q5,1,1,Z3,N/A
1780533398847,q1,0,10,Z5,N/A
1780533398867,q3,1,1,Z3,N/A
1780533398876,q3,0,5,Z2,N/A
1780533398884,q2,0,6,Z5,N/A
1780533398890,q1,0,3,Z1,N/A
1780533398897,q3,0,5,Z2,N/A
1780533398900,q5,1,0,Z3,N/A
1780533398903,q3,1,0,Z2,N/A
1780533398909,q2,0,4,Z1,N/A
1780533398929,q5,0,10,Z2,N/A
1780533399840,q5,1,1,Z2,N/A
1780533399867,q3,0,12,Z3,N/A
1780533399881,q2,0,11,Z4,N/A
1780533399892,q2,0,6,Z2,N/A
1780533399899,q1,0,4,Z1,N/A
1780533399902,q5,1,1,Z3,N/A
1780533399919,q2,0,6,Z3,N/A
1780533399928,q1,0,5,Z3,N/A
1780533399931,q5,1,1,Z5,N/A
1780533399941,q4,0,6,Z5,N/A
1780533400843,q3,0,7,Z3,N/A
1780533400856,q4,0,5,Z1,N/A
1780533400862,q3,0,3,Z1,N/A
1780533400872,q1,0,7,Z2,N/A
1780533400875,q3,1,1,Z4,N/A
1780533400877,q5,1,0,Z5,N/A
1780533400884,q1,0,3,Z1,N/A
1780533400890,q3,0,5,Z3,N/A
1780533400897,q2,0,5,Z3,N/A
1780533400899,q2,1,0,Z4,N/A
1780533401843,q1,0,8,Z2,N/A
1780533401860,q1,0,7,Z3,N/A
1780533401868,q4,0,6,Z4,N/A
1780533401873,q3,0,3,Z5,N/A
1780533401878,q3,1,0,Z2,N/A
1780533401885,q1,0,4,Z2,N/A
1780533401893,q4,0,5,Z5,N/A
1780533401900,q3,0,5,Z5,N/A
1780533401905,q1,0,3,Z4,N/A
1780533401916,q4,0,5,Z1,N/A
1780533402836,q5,1,0,Z3,N/A
1780533402858,q4,0,10,Z3,N/A
1780533402864,q3,0,4,Z5,N/A
1780533402873,q4,0,6,Z4,N/A
1780533402883,q3,0,7,Z3,N/A
1780533402891,q2,0,6,Z5,N/A
1780533402899,q3,0,5,Z3,N/A
1780533402913,q5,0,7,Z4,N/A
