timestamp,query_type,hit,latency_ms,zone,cache_key
1777488252875,q1,0,33,Z2,N/A
1777488252878,q3,0,34,Z4,N/A
1777488252879,q2,0,36,Z2,N/A
1777488252881,q2,0,38,Z2,N/A
1777488252883,q3,0,40,Z1,N/A
1777488252885,q4,0,42,Z2,N/A
1777488252886,q3,0,44,Z5,N/A
1777488252888,q5,0,44,Z3,N/A
1777488252890,q2,0,32,Z1,N/A
1777488252892,q3,0,35,Z5,N/A
1777488252901,q1,0,93,Z2,N/A
1777488252902,q3,0,82,Z4,N/A
1777488252904,q2,0,83,Z2,N/A
1777488252905,q2,0,84,Z2,N/A
1777488252906,q3,0,86,Z1,N/A
1777488252907,q4,0,88,Z2,N/A
1777488252908,q3,0,88,Z5,N/A
1777488252910,q5,0,86,Z3,N/A
1777488252911,q2,0,90,Z1,N/A
1777488252911,q3,0,89,Z5,N/A
1777488253821,q3,1,9,Z5,N/A
1777488253828,q1,1,10,Z2,N/A
1777488253829,q1,1,10,Z2,N/A
1777488253831,q5,1,10,Z3,N/A
1777488253832,q2,1,10,Z1,N/A
1777488253833,q1,1,9,Z2,N/A
1777488253834,q2,1,10,Z1,N/A
1777488253835,q3,0,39,Z5,N/A
1777488253836,q1,0,36,Z2,N/A
1777488253837,q1,0,36,Z2,N/A
1777488253838,q5,0,36,Z3,N/A
1777488253839,q2,0,35,Z1,N/A
1777488253840,q2,0,27,Z3,N/A
1777488253841,q1,0,35,Z2,N/A
1777488253842,q5,0,26,Z1,N/A
1777488253843,q2,0,35,Z1,N/A
1777488253844,q1,0,26,Z1,N/A
1777488253845,q2,0,50,Z3,N/A
1777488253848,q5,0,44,Z1,N/A
1777488253849,q1,0,44,Z1,N/A
1777488254813,q1,1,4,Z1,N/A
1777488254814,q2,1,4,Z3,N/A
1777488254816,q2,1,5,Z2,N/A
1777488254817,q2,1,4,Z1,N/A
1777488254818,q1,1,5,Z2,N/A
1777488254819,q1,0,24,Z1,N/A
1777488254820,q2,0,21,Z3,N/A
1777488254820,q2,0,21,Z2,N/A
1777488254822,q2,0,22,Z1,N/A
1777488254823,q3,0,16,Z2,N/A
1777488254823,q1,0,22,Z2,N/A
1777488254824,q4,0,18,Z1,N/A
1777488254825,q3,0,31,Z2,N/A
1777488254826,q3,0,19,Z2,N/A
1777488254828,q4,0,33,Z1,N/A
1777488254829,q4,0,19,Z4,N/A
1777488254831,q3,0,35,Z2,N/A
1777488254832,q4,0,30,Z4,N/A
1777488254833,q5,0,18,Z2,N/A
1777488254836,q5,0,32,Z2,N/A
1777488255804,q1,1,3,Z1,N/A
1777488255805,q1,1,3,Z2,N/A
1777488255807,q4,1,4,Z2,N/A
1777488255808,q5,1,4,Z3,N/A
1777488255811,q2,1,3,Z2,N/A
1777488255812,q2,1,4,Z3,N/A
1777488255813,q5,1,4,Z1,N/A
1777488255813,q1,0,13,Z1,N/A
1777488255814,q4,0,10,Z4,N/A
1777488255815,q1,0,15,Z2,N/A
1777488255815,q4,0,15,Z2,N/A
1777488255816,q5,0,19,Z3,N/A
1777488255817,q2,0,20,Z2,N/A
1777488255817,q2,0,18,Z5,N/A
1777488255818,q2,0,20,Z3,N/A
1777488255819,q5,0,22,Z1,N/A
1777488255820,q3,0,20,Z3,N/A
1777488255821,q4,0,26,Z4,N/A
1777488255822,q2,0,27,Z5,N/A
1777488255824,q3,0,27,Z3,N/A
1777488256815,q2,1,5,Z2,N/A
1777488256816,q5,1,6,Z2,N/A
1777488256817,q3,1,5,Z2,N/A
1777488256818,q3,1,6,Z4,N/A
1777488256819,q3,1,6,Z3,N/A
1777488256820,q5,1,6,Z2,N/A
1777488256821,q2,1,6,Z2,N/A
1777488256821,q1,1,6,Z1,N/A
1777488256822,q1,0,12,Z3,N/A
1777488256822,q2,0,22,Z2,N/A
1777488256823,q5,0,22,Z2,N/A
1777488256824,q3,0,23,Z2,N/A
1777488256824,q3,0,23,Z4,N/A
1777488256825,q2,0,24,Z2,N/A
1777488256826,q3,0,23,Z3,N/A
1777488256826,q5,0,24,Z2,N/A
1777488256827,q1,0,18,Z3,N/A
1777488256827,q1,0,24,Z1,N/A
1777488256828,q1,0,33,Z3,N/A
1777488256830,q1,0,31,Z3,N/A
1777488257809,q1,1,4,Z3,N/A
1777488257810,q5,1,5,Z3,N/A
1777488257811,q1,1,4,Z2,N/A
1777488257812,q3,1,5,Z2,N/A
1777488257813,q5,1,5,Z3,N/A
1777488257814,q2,1,6,Z3,N/A
1777488257815,q1,1,6,Z3,N/A
1777488257816,q4,0,11,Z1,N/A
1777488257817,q1,0,16,Z3,N/A
1777488257819,q5,0,16,Z3,N/A
1777488257820,q1,0,17,Z2,N/A
1777488257821,q1,0,21,Z3,N/A
1777488257822,q3,0,17,Z2,N/A
1777488257823,q5,0,19,Z3,N/A
1777488257825,q2,0,19,Z3,N/A
1777488257826,q4,0,26,Z1,N/A
1777488257827,q4,0,22,Z3,N/A
1777488257828,q2,0,22,Z4,N/A
1777488257830,q4,0,33,Z3,N/A
1777488257831,q2,0,32,Z4,N/A
1777488258803,q5,1,2,Z1,N/A
1777488258807,q2,1,3,Z1,N/A
1777488258808,q2,1,4,Z1,N/A
1777488258809,q1,1,3,Z2,N/A
1777488258810,q3,1,4,Z2,N/A
1777488258811,q1,1,4,Z1,N/A
1777488258812,q3,1,3,Z1,N/A
1777488258813,q5,1,5,Z1,N/A
1777488258815,q5,0,14,Z1,N/A
1777488258816,q2,0,14,Z1,N/A
1777488258817,q2,0,15,Z1,N/A
1777488258818,q1,0,15,Z2,N/A
1777488258819,q3,0,16,Z2,N/A
1777488258820,q1,0,18,Z1,N/A
1777488258821,q5,0,20,Z1,N/A
1777488258822,q5,0,20,Z4,N/A
1777488258823,q4,0,20,Z5,N/A
1777488258824,q3,0,19,Z1,N/A
1777488258826,q5,0,28,Z4,N/A
1777488258826,q4,0,27,Z5,N/A
1777488259804,q2,1,1,Z1,N/A
1777488259805,q1,1,2,Z3,N/A
1777488259805,q3,1,2,Z2,N/A
1777488259806,q5,1,3,Z2,N/A
1777488259806,q2,1,3,Z5,N/A
1777488259807,q5,1,2,Z2,N/A
1777488259807,q5,1,3,Z2,N/A
1777488259808,q2,1,3,Z3,N/A
1777488259808,q2,0,10,Z1,N/A
1777488259809,q4,1,5,Z1,N/A
1777488259810,q2,1,1,Z1,N/A
1777488259811,q1,0,11,Z3,N/A
1777488259812,q2,0,13,Z5,N/A
1777488259813,q3,0,12,Z2,N/A
1777488259813,q5,0,13,Z2,N/A
1777488259814,q5,0,14,Z2,N/A
1777488259815,q5,0,15,Z2,N/A
1777488259815,q2,0,16,Z3,N/A
1777488259816,q4,0,16,Z1,N/A
1777488259817,q2,0,17,Z1,N/A
1777488260804,q4,1,3,Z1,N/A
1777488260807,q5,1,3,Z4,N/A
1777488260808,q3,1,2,Z1,N/A
1777488260809,q3,1,3,Z5,N/A
1777488260810,q3,1,2,Z3,N/A
1777488260811,q4,1,2,Z4,N/A
1777488260812,q1,1,3,Z1,N/A
1777488260813,q1,1,3,Z1,N/A
1777488260814,q4,1,3,Z3,N/A
1777488260815,q4,0,13,Z1,N/A
1777488260816,q5,0,13,Z4,N/A
1777488260817,q3,0,14,Z1,N/A
1777488260818,q3,0,15,Z5,N/A
1777488260819,q3,0,15,Z3,N/A
1777488260820,q1,0,19,Z1,N/A
1777488260821,q4,0,19,Z3,N/A
1777488260823,q4,0,17,Z4,N/A
1777488260824,q1,0,18,Z1,N/A
1777488260824,q1,0,14,Z5,N/A
1777488260827,q1,0,29,Z5,N/A
1777488261805,q5,1,3,Z1,N/A
1777488261809,q1,1,2,Z3,N/A
1777488261809,q1,1,3,Z3,N/A
1777488261810,q3,1,3,Z3,N/A
1777488261811,q2,1,3,Z2,N/A
1777488261812,q1,1,4,Z2,N/A
1777488261814,q3,1,4,Z3,N/A
1777488261816,q5,0,13,Z1,N/A
1777488261818,q1,0,14,Z3,N/A
1777488261819,q1,0,15,Z3,N/A
1777488261820,q3,0,15,Z3,N/A
1777488261821,q2,0,17,Z2,N/A
1777488261822,q4,0,14,Z1,N/A
1777488261823,q1,0,17,Z2,N/A
1777488261825,q3,0,18,Z3,N/A
1777488261826,q4,0,18,Z1,N/A
1777488261827,q4,0,27,Z1,N/A
1777488261828,q4,0,24,Z3,N/A
1777488261829,q4,0,28,Z1,N/A
1777488261831,q4,0,31,Z3,N/A
1777488262812,q2,1,3,Z2,N/A
1777488262813,q1,1,4,Z2,N/A
1777488262814,q5,1,3,Z3,N/A
1777488262816,q1,1,4,Z1,N/A
1777488262817,q3,1,3,Z2,N/A
1777488262819,q4,1,4,Z2,N/A
1777488262820,q2,0,16,Z2,N/A
1777488262822,q5,1,7,Z3,N/A
1777488262823,q1,0,19,Z2,N/A
1777488262825,q3,0,21,Z2,N/A
1777488262827,q5,0,19,Z3,N/A
1777488262829,q1,0,21,Z1,N/A
1777488262830,q5,0,19,Z5,N/A
1777488262831,q4,0,24,Z2,N/A
1777488262832,q4,0,22,Z2,N/A
1777488262832,q1,0,18,Z4,N/A
1777488262833,q5,0,28,Z3,N/A
1777488262834,q5,0,32,Z5,N/A
1777488262836,q4,0,32,Z2,N/A
1777488262837,q1,0,32,Z4,N/A
1777488263811,q3,1,2,Z3,N/A
1777488263812,q3,1,2,Z1,N/A
1777488263813,q5,1,2,Z1,N/A
1777488263814,q2,1,3,Z5,N/A
1777488263815,q1,1,3,Z1,N/A
1777488263816,q2,1,3,Z1,N/A
1777488263817,q5,1,3,Z5,N/A
1777488263818,q3,1,3,Z1,N/A
1777488263819,q4,1,3,Z3,N/A
1777488263821,q3,0,15,Z3,N/A
1777488263823,q3,0,15,Z1,N/A
1777488263824,q5,0,16,Z1,N/A
1777488263825,q2,0,17,Z5,N/A
1777488263826,q1,0,16,Z1,N/A
1777488263826,q2,0,17,Z1,N/A
1777488263827,q5,0,18,Z5,N/A
1777488263828,q3,1,3,Z5,N/A
1777488263829,q3,0,19,Z1,N/A
1777488263830,q4,0,21,Z3,N/A
1777488263832,q3,0,27,Z5,N/A
1777488264806,q1,1,2,Z5,N/A
1777488264811,q3,1,3,Z1,N/A
1777488264812,q3,1,4,Z2,N/A
1777488264813,q3,1,4,Z2,N/A
1777488264814,q1,1,5,Z2,N/A
1777488264815,q1,1,5,Z2,N/A
1777488264815,q5,1,4,Z5,N/A
1777488264816,q3,1,5,Z2,N/A
1777488264817,q4,1,5,Z1,N/A
1777488264818,q1,0,13,Z5,N/A
1777488264819,q3,0,14,Z1,N/A
1777488264819,q3,0,15,Z2,N/A
1777488264820,q3,0,16,Z2,N/A
1777488264821,q1,0,17,Z2,N/A
1777488264822,q4,0,14,Z2,N/A
1777488264823,q1,0,18,Z2,N/A
1777488264824,q5,0,19,Z5,N/A
1777488264825,q3,0,19,Z2,N/A
1777488264826,q4,0,20,Z1,N/A
1777488264827,q4,0,24,Z2,N/A
1777488265806,q5,1,2,Z3,N/A
1777488265809,q2,1,3,Z1,N/A
1777488265810,q4,1,3,Z4,N/A
1777488265811,q1,1,4,Z2,N/A
1777488265812,q3,1,3,Z3,N/A
1777488265813,q1,1,4,Z4,N/A
1777488265814,q2,1,4,Z1,N/A
1777488265816,q5,1,3,Z1,N/A
1777488265817,q1,1,4,Z3,N/A
1777488265818,q5,0,12,Z3,N/A
1777488265819,q2,0,12,Z1,N/A
1777488265819,q4,0,14,Z4,N/A
1777488265820,q1,0,15,Z2,N/A
1777488265821,q3,0,15,Z3,N/A
1777488265821,q1,0,15,Z4,N/A
1777488265822,q5,0,17,Z1,N/A
1777488265822,q1,0,18,Z3,N/A
1777488265823,q2,0,16,Z1,N/A
1777488265824,q4,0,16,Z3,N/A
1777488265828,q4,0,26,Z3,N/A
1777488266804,q5,1,2,Z1,N/A
1777488266807,q1,1,2,Z2,N/A
1777488266808,q1,1,2,Z2,N/A
1777488266809,q3,1,2,Z2,N/A
1777488266810,q4,1,2,Z5,N/A
1777488266811,q2,1,2,Z2,N/A
1777488266811,q4,1,3,Z1,N/A
1777488266812,q2,1,3,Z3,N/A
1777488266812,q5,1,3,Z1,N/A
1777488266813,q5,0,9,Z1,N/A
1777488266813,q1,0,9,Z2,N/A
1777488266814,q1,0,10,Z2,N/A
1777488266815,q3,0,11,Z2,N/A
1777488266815,q4,0,11,Z5,N/A
1777488266816,q2,0,14,Z3,N/A
1777488266817,q4,0,9,Z5,N/A
1777488266817,q2,0,12,Z2,N/A
1777488266818,q4,0,13,Z1,N/A
1777488266818,q5,0,14,Z1,N/A
1777488266819,q4,0,18,Z5,N/A
1777488267815,q1,1,3,Z2,N/A
1777488267816,q4,1,3,Z1,N/A
1777488267817,q3,1,3,Z2,N/A
1777488267822,q5,1,4,Z5,N/A
1777488267825,q3,1,4,Z3,N/A
1777488267826,q2,1,7,Z5,N/A
1777488267827,q5,1,7,Z2,N/A
1777488267828,q3,1,7,Z1,N/A
1777488267829,q2,1,8,Z1,N/A
1777488267831,q4,1,8,Z1,N/A
1777488267832,q1,0,19,Z2,N/A
1777488267833,q4,0,21,Z1,N/A
1777488267835,q3,0,22,Z2,N/A
1777488267836,q5,0,26,Z5,N/A
1777488267838,q3,0,26,Z3,N/A
1777488267839,q2,0,27,Z5,N/A
1777488267840,q5,0,28,Z2,N/A
1777488267842,q3,0,29,Z1,N/A
1777488267843,q4,0,34,Z1,N/A
1777488267844,q2,0,31,Z1,N/A
1777488268807,q5,1,2,Z2,N/A
1777488268810,q3,1,3,Z1,N/A
1777488268811,q4,1,3,Z4,N/A
1777488268812,q3,1,3,Z1,N/A
1777488268813,q4,1,3,Z1,N/A
1777488268813,q4,1,3,Z1,N/A
1777488268814,q1,1,4,Z1,N/A
1777488268816,q3,1,4,Z3,N/A
1777488268817,q1,1,3,Z3,N/A
1777488268818,q3,1,3,Z4,N/A
1777488268819,q5,0,11,Z2,N/A
1777488268821,q3,0,12,Z1,N/A
1777488268822,q4,0,14,Z4,N/A
1777488268823,q3,0,15,Z1,N/A
1777488268824,q4,0,16,Z1,N/A
1777488268825,q4,0,16,Z1,N/A
1777488268826,q3,0,20,Z4,N/A
1777488268827,q1,0,17,Z1,N/A
1777488268828,q3,0,18,Z3,N/A
1777488268831,q1,0,18,Z3,N/A
1777488269810,q5,1,3,Z3,N/A
1777488269811,q5,1,2,Z2,N/A
1777488269812,q1,1,3,Z3,N/A
1777488269813,q1,1,3,Z3,N/A
1777488269814,q2,1,3,Z3,N/A
1777488269815,q4,1,3,Z2,N/A
1777488269816,q2,1,3,Z1,N/A
1777488269816,q5,1,3,Z3,N/A
1777488269817,q5,1,4,Z4,N/A
1777488269818,q3,1,5,Z3,N/A
1777488269819,q5,0,11,Z3,N/A
1777488269820,q5,0,11,Z2,N/A
1777488269821,q1,0,12,Z3,N/A
1777488269821,q1,0,14,Z3,N/A
1777488269822,q2,0,14,Z3,N/A
1777488269822,q4,0,14,Z2,N/A
1777488269823,q2,0,15,Z1,N/A
1777488269823,q5,0,16,Z3,N/A
1777488269824,q5,0,16,Z4,N/A
1777488269825,q3,0,17,Z3,N/A
1777488270807,q5,1,2,Z1,N/A
1777488270810,q3,1,2,Z1,N/A
1777488270811,q4,1,2,Z1,N/A
1777488270811,q1,1,3,Z4,N/A
1777488270812,q2,1,3,Z1,N/A
1777488270813,q4,1,3,Z5,N/A
1777488270813,q3,1,2,Z2,N/A
1777488270814,q3,1,3,Z2,N/A
1777488270814,q1,1,3,Z3,N/A
1777488270815,q2,1,3,Z4,N/A
1777488270815,q5,0,10,Z1,N/A
1777488270816,q3,0,10,Z1,N/A
1777488270817,q4,0,10,Z1,N/A
1777488270818,q1,0,11,Z4,N/A
1777488270818,q2,0,10,Z1,N/A
1777488270819,q2,0,14,Z4,N/A
1777488270820,q4,0,12,Z5,N/A
1777488270821,q3,0,13,Z2,N/A
1777488270821,q3,0,13,Z2,N/A
1777488270822,q1,0,13,Z3,N/A
1777488271808,q1,1,2,Z4,N/A
1777488271812,q2,1,2,Z4,N/A
1777488271812,q1,1,3,Z2,N/A
1777488271813,q1,1,2,Z3,N/A
1777488271814,q3,1,3,Z2,N/A
1777488271814,q1,1,3,Z5,N/A
1777488271815,q3,1,3,Z1,N/A
1777488271816,q4,1,3,Z1,N/A
1777488271817,q1,1,3,Z5,N/A
1777488271819,q2,1,3,Z4,N/A
1777488271820,q1,0,11,Z4,N/A
1777488271820,q2,0,11,Z4,N/A
1777488271821,q1,0,12,Z2,N/A
1777488271822,q1,0,12,Z3,N/A
1777488271823,q3,0,12,Z2,N/A
1777488271824,q1,0,15,Z5,N/A
1777488271825,q3,0,15,Z1,N/A
1777488271826,q1,0,16,Z5,N/A
1777488271826,q2,0,19,Z4,N/A
1777488271827,q4,0,16,Z1,N/A
1777488272815,q5,1,3,Z3,N/A
1777488272820,q2,1,4,Z3,N/A
1777488272821,q4,1,4,Z4,N/A
1777488272821,q3,1,5,Z2,N/A
1777488272822,q1,1,4,Z4,N/A
1777488272824,q1,1,5,Z5,N/A
1777488272826,q1,1,5,Z3,N/A
1777488272827,q1,1,5,Z1,N/A
1777488272828,q4,1,5,Z1,N/A
1777488272829,q1,1,5,Z1,N/A
1777488272830,q5,0,19,Z3,N/A
1777488272831,q2,0,20,Z3,N/A
1777488272832,q4,0,20,Z4,N/A
1777488272833,q3,0,20,Z2,N/A
1777488272834,q1,0,21,Z4,N/A
1777488272836,q1,0,21,Z5,N/A
1777488272836,q1,0,22,Z3,N/A
1777488272837,q1,0,22,Z1,N/A
1777488272838,q4,0,22,Z1,N/A
1777488272838,q1,0,23,Z1,N/A
1777488273821,q3,1,6,Z1,N/A
1777488273827,q1,1,7,Z2,N/A
1777488273828,q4,1,7,Z2,N/A
1777488273829,q1,1,7,Z5,N/A
1777488273830,q3,1,7,Z2,N/A
1777488273831,q3,1,7,Z1,N/A
1777488273832,q4,1,7,Z1,N/A
1777488273833,q4,1,7,Z1,N/A
1777488273835,q5,1,6,Z1,N/A
1777488273836,q2,1,6,Z4,N/A
1777488273837,q3,0,28,Z1,N/A
1777488273838,q1,0,27,Z2,N/A
1777488273839,q4,0,27,Z2,N/A
1777488273840,q1,0,27,Z5,N/A
1777488273840,q3,0,28,Z2,N/A
1777488273841,q5,0,28,Z1,N/A
1777488273841,q2,0,28,Z4,N/A
1777488273842,q3,0,28,Z1,N/A
1777488273842,q4,0,28,Z1,N/A
1777488273844,q4,0,28,Z1,N/A
1777488274817,q2,1,3,Z2,N/A
1777488274818,q3,1,2,Z4,N/A
1777488274820,q5,1,3,Z2,N/A
1777488274821,q5,1,4,Z4,N/A
1777488274821,q3,1,3,Z1,N/A
1777488274823,q1,1,4,Z2,N/A
1777488274824,q2,1,5,Z2,N/A
1777488274825,q2,0,18,Z2,N/A
1777488274827,q4,1,8,Z1,N/A
1777488274828,q1,1,3,Z2,N/A
1777488274829,q1,1,4,Z1,N/A
